STATISTIČNA REGIJA;STAROSTNI RAZRED;MESEC;DATA
SLOVENIJA;15-24;2020M12;39700
SLOVENIJA;15-24;2021M01;38798
SLOVENIJA;15-24;2021M02;39224
SLOVENIJA;15-24;2021M03;39617
SLOVENIJA;15-24;2021M04;39562
SLOVENIJA;15-24;2021M05;39739
SLOVENIJA;15-24;2021M06;40188
SLOVENIJA;15-24;2021M07;40311
SLOVENIJA;15-24;2021M08;39772
SLOVENIJA;15-24;2021M09;40807
SLOVENIJA;15-24;2021M10;42786
SLOVENIJA;15-24;2021M11;43078
SLOVENIJA;15-24;2021M12;43032
SLOVENIJA;15-24;2022M01;42611
SLOVENIJA;15-24;2022M02;42895
SLOVENIJA;15-24;2022M03;43041
SLOVENIJA;15-24;2022M04;43168
SLOVENIJA;15-24;2022M05;43035
SLOVENIJA;15-24;2022M06;42971
SLOVENIJA;15-24;2022M07;42610
SLOVENIJA;15-24;2022M08;42078
SLOVENIJA;15-24;2022M09;42937
SLOVENIJA;15-24;2022M10;45067
SLOVENIJA;15-24;2022M11;45266
SLOVENIJA;15-24;2022M12;45327
SLOVENIJA;15-24;2023M01;44715
SLOVENIJA;15-24;2023M02;44910
SLOVENIJA;15-24;2023M03;45120
SLOVENIJA;15-24;2023M04;44925
SLOVENIJA;15-24;2023M05;44711
SLOVENIJA;15-24;2023M06;44401
SLOVENIJA;15-24;2023M07;43803
SLOVENIJA;15-24;2023M08;43006
SLOVENIJA;15-24;2023M09;43538
SLOVENIJA;15-24;2023M10;45393
SLOVENIJA;15-24;2023M11;45622
SLOVENIJA;15-24;2023M12;45499
SLOVENIJA;15-24;2024M01;45573
SLOVENIJA;15-24;2024M02;45722
SLOVENIJA;15-24;2024M03;45687
SLOVENIJA;15-24;2024M04;45531
SLOVENIJA;15-24;2024M05;45198
SLOVENIJA;15-24;2024M06;44496
SLOVENIJA;15-24;2024M07;43770
SLOVENIJA;15-24;2024M08;42985
SLOVENIJA;15-24;2024M09;43686
SLOVENIJA;15-24;2024M10;45439
SLOVENIJA;15-24;2024M11;45725
SLOVENIJA;15-24;2024M12;44746
SLOVENIJA;15-24;2025M01;44434
SLOVENIJA;25-29;2010M01;101556
SLOVENIJA;25-29;2010M02;101325
SLOVENIJA;25-29;2010M03;101112
SLOVENIJA;25-29;2010M04;100560
SLOVENIJA;25-29;2010M05;100015
SLOVENIJA;25-29;2010M06;99527
SLOVENIJA;25-29;2010M07;98380
SLOVENIJA;25-29;2010M08;97624
SLOVENIJA;25-29;2010M09;98284
SLOVENIJA;25-29;2010M10;98536
SLOVENIJA;25-29;2010M11;98224
SLOVENIJA;25-29;2010M12;97176
SLOVENIJA;25-29;2011M01;96544
SLOVENIJA;25-29;2011M02;96458
SLOVENIJA;25-29;2011M03;95977
SLOVENIJA;25-29;2011M04;95771
SLOVENIJA;25-29;2011M05;95477
SLOVENIJA;25-29;2011M06;95029
SLOVENIJA;25-29;2011M07;93722
SLOVENIJA;25-29;2011M08;92828
SLOVENIJA;25-29;2011M09;92871
SLOVENIJA;25-29;2011M10;93079
SLOVENIJA;25-29;2011M11;92739
SLOVENIJA;25-29;2011M12;91533
SLOVENIJA;25-29;2012M01;90585
SLOVENIJA;25-29;2012M02;90335
SLOVENIJA;25-29;2012M03;90231
SLOVENIJA;25-29;2012M04;89756
SLOVENIJA;25-29;2012M05;89325
SLOVENIJA;25-29;2012M06;88639
SLOVENIJA;25-29;2012M07;87542
SLOVENIJA;25-29;2012M08;86577
SLOVENIJA;25-29;2012M09;86593
SLOVENIJA;25-29;2012M10;86585
SLOVENIJA;25-29;2012M11;86453
SLOVENIJA;25-29;2012M12;85253
SLOVENIJA;25-29;2013M01;84184
SLOVENIJA;25-29;2013M02;83964
SLOVENIJA;25-29;2013M03;83666
SLOVENIJA;25-29;2013M04;83417
SLOVENIJA;25-29;2013M05;83251
SLOVENIJA;25-29;2013M06;82866
SLOVENIJA;25-29;2013M07;81938
SLOVENIJA;25-29;2013M08;81289
SLOVENIJA;25-29;2013M09;81666
SLOVENIJA;25-29;2013M10;82104
SLOVENIJA;25-29;2013M11;81922
SLOVENIJA;25-29;2013M12;80695
SLOVENIJA;25-29;2014M01;79272
SLOVENIJA;25-29;2014M02;79266
SLOVENIJA;25-29;2014M03;79331
SLOVENIJA;25-29;2014M04;79892
SLOVENIJA;25-29;2014M05;79989
SLOVENIJA;25-29;2014M06;79898
SLOVENIJA;25-29;2014M07;79568
SLOVENIJA;25-29;2014M08;79202
SLOVENIJA;25-29;2014M09;79667
SLOVENIJA;25-29;2014M10;80777
SLOVENIJA;25-29;2014M11;80877
SLOVENIJA;25-29;2014M12;80020
SLOVENIJA;25-29;2015M01;79342
SLOVENIJA;25-29;2015M02;79490
SLOVENIJA;25-29;2015M03;79742
SLOVENIJA;25-29;2015M04;79562
SLOVENIJA;25-29;2015M05;79347
SLOVENIJA;25-29;2015M06;79277
SLOVENIJA;25-29;2015M07;78663
SLOVENIJA;25-29;2015M08;78256
SLOVENIJA;25-29;2015M09;79089
SLOVENIJA;25-29;2015M10;80041
SLOVENIJA;25-29;2015M11;80332
SLOVENIJA;25-29;2015M12;79448
SLOVENIJA;25-29;2016M01;78821
SLOVENIJA;25-29;2016M02;79294
SLOVENIJA;25-29;2016M03;80140
SLOVENIJA;25-29;2016M04;80853
