STATISTIČNA REGIJA;STAROSTNI RAZRED;MESEC;DATA
Pomurska;40-44;2017M03;6371
Pomurska;40-44;2017M04;6484
Pomurska;40-44;2017M05;6495
Pomurska;40-44;2017M06;6503
Pomurska;40-44;2017M07;6467
Pomurska;40-44;2017M08;6468
Pomurska;40-44;2017M09;6516
Pomurska;40-44;2017M10;6541
Pomurska;40-44;2017M11;6547
Pomurska;40-44;2017M12;6496
Pomurska;40-44;2018M01;6440
Pomurska;40-44;2018M02;6454
Pomurska;40-44;2018M03;6488
Pomurska;40-44;2018M04;6570
Pomurska;40-44;2018M05;6559
Pomurska;40-44;2018M06;6546
Pomurska;40-44;2018M07;6539
Pomurska;40-44;2018M08;6503
Pomurska;40-44;2018M09;6510
Pomurska;40-44;2018M10;6531
Pomurska;40-44;2018M11;6499
Pomurska;40-44;2018M12;6496
Pomurska;40-44;2019M01;6427
Pomurska;40-44;2019M02;6421
Pomurska;40-44;2019M03;6476
Pomurska;40-44;2019M04;6495
Pomurska;40-44;2019M05;6539
Pomurska;40-44;2019M06;6537
Pomurska;40-44;2019M07;6501
Pomurska;40-44;2019M08;6505
Pomurska;40-44;2019M09;6529
Pomurska;40-44;2019M10;6534
Pomurska;40-44;2019M11;6506
Pomurska;40-44;2019M12;6461
Pomurska;40-44;2020M01;6337
Pomurska;40-44;2020M02;6387
Pomurska;40-44;2020M03;6379
Pomurska;40-44;2020M04;6319
Pomurska;40-44;2020M05;6289
Pomurska;40-44;2020M06;6298
Pomurska;40-44;2020M07;6253
Pomurska;40-44;2020M08;6249
Pomurska;40-44;2020M09;6264
Pomurska;40-44;2020M10;6262
Pomurska;40-44;2020M11;6224
Pomurska;40-44;2020M12;6173
Pomurska;40-44;2021M01;6091
Pomurska;40-44;2021M02;6123
Pomurska;40-44;2021M03;6156
Pomurska;40-44;2021M04;6203
Pomurska;40-44;2021M05;6238
Pomurska;40-44;2021M06;6263
Pomurska;40-44;2021M07;6261
Pomurska;40-44;2021M08;6250
Pomurska;40-44;2021M09;6266
Pomurska;40-44;2021M10;6284
Pomurska;40-44;2021M11;6268
Pomurska;40-44;2021M12;6256
Pomurska;40-44;2022M01;6220
Pomurska;40-44;2022M02;6233
Pomurska;40-44;2022M03;6256
Pomurska;40-44;2022M04;6277
Pomurska;40-44;2022M05;6278
Pomurska;40-44;2022M06;6284
Pomurska;40-44;2022M07;6324
Pomurska;40-44;2022M08;6330
Pomurska;40-44;2022M09;6333
Pomurska;40-44;2022M10;6295
Pomurska;40-44;2022M11;6276
Pomurska;40-44;2022M12;6262
Pomurska;40-44;2023M01;6226
Pomurska;40-44;2023M02;6222
Pomurska;40-44;2023M03;6281
Pomurska;40-44;2023M04;6282
Pomurska;40-44;2023M05;6319
Pomurska;40-44;2023M06;6306
Pomurska;40-44;2023M07;6290
Pomurska;40-44;2023M08;6282
Pomurska;40-44;2023M09;6295
Pomurska;40-44;2023M10;6293
Pomurska;40-44;2023M11;6304
Pomurska;40-44;2023M12;6286
Pomurska;40-44;2024M01;6233
Pomurska;40-44;2024M02;6249
Pomurska;40-44;2024M03;6270
Pomurska;40-44;2024M04;6256
Pomurska;40-44;2024M05;6260
Pomurska;40-44;2024M06;6227
Pomurska;40-44;2024M07;6193
Pomurska;40-44;2024M08;6164
Pomurska;40-44;2024M09;6175
Pomurska;40-44;2024M10;6165
Pomurska;40-44;2024M11;6137
Pomurska;40-44;2024M12;6110
Pomurska;40-44;2025M01;6079
Pomurska;45-49;2010M01;6076
Pomurska;45-49;2010M02;6082
Pomurska;45-49;2010M03;6120
Pomurska;45-49;2010M04;6199
Pomurska;45-49;2010M05;6264
Pomurska;45-49;2010M06;6319
Pomurska;45-49;2010M07;6354
Pomurska;45-49;2010M08;6437
Pomurska;45-49;2010M09;6455
Pomurska;45-49;2010M10;6461
Pomurska;45-49;2010M11;6443
Pomurska;45-49;2010M12;6419
Pomurska;45-49;2011M01;6494
Pomurska;45-49;2011M02;6518
Pomurska;45-49;2011M03;6580
Pomurska;45-49;2011M04;6701
Pomurska;45-49;2011M05;6754
Pomurska;45-49;2011M06;6753
Pomurska;45-49;2011M07;6737
Pomurska;45-49;2011M08;6746
Pomurska;45-49;2011M09;6717
Pomurska;45-49;2011M10;6691
Pomurska;45-49;2011M11;6669
Pomurska;45-49;2011M12;6613
Pomurska;45-49;2012M01;6340
Pomurska;45-49;2012M02;6363
Pomurska;45-49;2012M03;6430
Pomurska;45-49;2012M04;6498
Pomurska;45-49;2012M05;6508
Pomurska;45-49;2012M06;6496
Pomurska;45-49;2012M07;6460
Pomurska;45-49;2012M08;6485
Pomurska;45-49;2012M09;6504
Pomurska;45-49;2012M10;6478
Pomurska;45-49;2012M11;6479
Pomurska;45-49;2012M12;6424
Pomurska;45-49;2013M01;6402
Pomurska;45-49;2013M02;6421
Pomurska;45-49;2013M03;6453
Pomurska;45-49;2013M04;6498
Pomurska;45-49;2013M05;6559
Pomurska;45-49;2013M06;6572
Pomurska;45-49;2013M07;6514
Pomurska;45-49;2013M08;6415
Pomurska;45-49;2013M09;6444
Pomurska;45-49;2013M10;6461
Pomurska;45-49;2013M11;6460
Pomurska;45-49;2013M12;6331
Pomurska;45-49;2014M01;6194
Pomurska;45-49;2014M02;6220
Pomurska;45-49;2014M03;6297
Pomurska;45-49;2014M04;6416
Pomurska;45-49;2014M05;6419
Pomurska;45-49;2014M06;6236
Pomurska;45-49;2014M07;6269
Pomurska;45-49;2014M08;6270
Pomurska;45-49;2014M09;6267
Pomurska;45-49;2014M10;6160
Pomurska;45-49;2014M11;6150
Pomurska;45-49;2014M12;6082
Pomurska;45-49;2015M01;5974
Pomurska;45-49;2015M02;6018
Pomurska;45-49;2015M03;6071
Pomurska;45-49;2015M04;6061
Pomurska;45-49;2015M05;6073
Pomurska;45-49;2015M06;6089
Pomurska;45-49;2015M07;6091
Pomurska;45-49;2015M08;6103
Pomurska;45-49;2015M09;6077
Pomurska;45-49;2015M10;6010
Pomurska;45-49;2015M11;6023
Pomurska;45-49;2015M12;5958
Pomurska;45-49;2016M01;5807
Pomurska;45-49;2016M02;5827
Pomurska;45-49;2016M03;5913
Pomurska;45-49;2016M04;5956
Pomurska;45-49;2016M05;5953
Pomurska;45-49;2016M06;5955
Pomurska;45-49;2016M07;5908
Pomurska;45-49;2016M08;5939
Pomurska;45-49;2016M09;5953
Pomurska;45-49;2016M10;5985
Pomurska;45-49;2016M11;5976
Pomurska;45-49;2016M12;5902
Pomurska;45-49;2017M01;5845
Pomurska;45-49;2017M02;5864
Pomurska;45-49;2017M03;5961
Pomurska;45-49;2017M04;6086
Pomurska;45-49;2017M05;6093
Pomurska;45-49;2017M06;6091
Pomurska;45-49;2017M07;6104
Pomurska;45-49;2017M08;6140
Pomurska;45-49;2017M09;6180
Pomurska;45-49;2017M10;6187
Pomurska;45-49;2017M11;6118
Pomurska;45-49;2017M12;6040
Pomurska;45-49;2018M01;6012
Pomurska;45-49;2018M02;6026
Pomurska;45-49;2018M03;6085
Pomurska;45-49;2018M04;6152
Pomurska;45-49;2018M05;6152
Pomurska;45-49;2018M06;6188
Pomurska;45-49;2018M07;6151
Pomurska;45-49;2018M08;6194
Pomurska;45-49;2018M09;6199
Pomurska;45-49;2018M10;6213
Pomurska;45-49;2018M11;6195
Pomurska;45-49;2018M12;6171
Pomurska;45-49;2019M01;6050
Pomurska;45-49;2019M02;6123
Pomurska;45-49;2019M03;6171
Pomurska;45-49;2019M04;6216
Pomurska;45-49;2019M05;6236
Pomurska;45-49;2019M06;6265
Pomurska;45-49;2019M07;6201
Pomurska;45-49;2019M08;6245
Pomurska;45-49;2019M09;6288
Pomurska;45-49;2019M10;6320
Pomurska;45-49;2019M11;6304
Pomurska;45-49;2019M12;6239
Pomurska;45-49;2020M01;6179
Pomurska;45-49;2020M02;6201
Pomurska;45-49;2020M03;6276
Pomurska;45-49;2020M04;6261
Pomurska;45-49;2020M05;6286
Pomurska;45-49;2020M06;6291
Pomurska;45-49;2020M07;6312
Pomurska;45-49;2020M08;6353
Pomurska;45-49;2020M09;6413
Pomurska;45-49;2020M10;6458
Pomurska;45-49;2020M11;6452
Pomurska;45-49;2020M12;6414
Pomurska;45-49;2021M01;6363
Pomurska;45-49;2021M02;6396
Pomurska;45-49;2021M03;6439
Pomurska;45-49;2021M04;6485
Pomurska;45-49;2021M05;6525
Pomurska;45-49;2021M06;6565
Pomurska;45-49;2021M07;6553
Pomurska;45-49;2021M08;6559
Pomurska;45-49;2021M09;6594
Pomurska;45-49;2021M10;6579
Pomurska;45-49;2021M11;6577
Pomurska;45-49;2021M12;6536
Pomurska;45-49;2022M01;6496
Pomurska;45-49;2022M02;6542
Pomurska;45-49;2022M03;6566
Pomurska;45-49;2022M04;6603
Pomurska;45-49;2022M05;6635
Pomurska;45-49;2022M06;6668
Pomurska;45-49;2022M07;6672
Pomurska;45-49;2022M08;6662
Pomurska;45-49;2022M09;6655
Pomurska;45-49;2022M10;6669
Pomurska;45-49;2022M11;6695
Pomurska;45-49;2022M12;6678
Pomurska;45-49;2023M01;6645
Pomurska;45-49;2023M02;6667
Pomurska;45-49;2023M03;6685
Pomurska;45-49;2023M04;6713
Pomurska;45-49;2023M05;6703
Pomurska;45-49;2023M06;6714
Pomurska;45-49;2023M07;6715
Pomurska;45-49;2023M08;6673
Pomurska;45-49;2023M09;6682
Pomurska;45-49;2023M10;6669
Pomurska;45-49;2023M11;6672
Pomurska;45-49;2023M12;6697
Pomurska;45-49;2024M01;6680
Pomurska;45-49;2024M02;6660
Pomurska;45-49;2024M03;6685
Pomurska;45-49;2024M04;6692
Pomurska;45-49;2024M05;6735
Pomurska;45-49;2024M06;6760
Pomurska;45-49;2024M07;6751
Pomurska;45-49;2024M08;6741
Pomurska;45-49;2024M09;6760
Pomurska;45-49;2024M10;6754
Pomurska;45-49;2024M11;6754
Pomurska;45-49;2024M12;6697
Pomurska;45-49;2025M01;6642
Pomurska;50-54;2010M01;5696
Pomurska;50-54;2010M02;5746
Pomurska;50-54;2010M03;5826
Pomurska;50-54;2010M04;5931
Pomurska;50-54;2010M05;5979
Pomurska;50-54;2010M06;6011
Pomurska;50-54;2010M07;6018
Pomurska;50-54;2010M08;6028
Pomurska;50-54;2010M09;6048
Pomurska;50-54;2010M10;6014
Pomurska;50-54;2010M11;5982
Pomurska;50-54;2010M12;5854
Pomurska;50-54;2011M01;5959
Pomurska;50-54;2011M02;5940
Pomurska;50-54;2011M03;6005
Pomurska;50-54;2011M04;6166
Pomurska;50-54;2011M05;6207
Pomurska;50-54;2011M06;6251
Pomurska;50-54;2011M07;6154
Pomurska;50-54;2011M08;6150
Pomurska;50-54;2011M09;6168
Pomurska;50-54;2011M10;6143
Pomurska;50-54;2011M11;6128
Pomurska;50-54;2011M12;6085
Pomurska;50-54;2012M01;5720
Pomurska;50-54;2012M02;5725
Pomurska;50-54;2012M03;5765
Pomurska;50-54;2012M04;5909
Pomurska;50-54;2012M05;5901
Pomurska;50-54;2012M06;5922
Pomurska;50-54;2012M07;5936
Pomurska;50-54;2012M08;5928
Pomurska;50-54;2012M09;5930
Pomurska;50-54;2012M10;5946
Pomurska;50-54;2012M11;5900
Pomurska;50-54;2012M12;5831
Pomurska;50-54;2013M01;5759
Pomurska;50-54;2013M02;5773
Pomurska;50-54;2013M03;5838
Pomurska;50-54;2013M04;5891
Pomurska;50-54;2013M05;5921
Pomurska;50-54;2013M06;5978
Pomurska;50-54;2013M07;6000
Pomurska;50-54;2013M08;5952
Pomurska;50-54;2013M09;5981
Pomurska;50-54;2013M10;5948
Pomurska;50-54;2013M11;5924
Pomurska;50-54;2013M12;5836
Pomurska;50-54;2014M01;5683
Pomurska;50-54;2014M02;5704
Pomurska;50-54;2014M03;5787
Pomurska;50-54;2014M04;5923
Pomurska;50-54;2014M05;5986
Pomurska;50-54;2014M06;5871
Pomurska;50-54;2014M07;5896
Pomurska;50-54;2014M08;5885
Pomurska;50-54;2014M09;5920
Pomurska;50-54;2014M10;5794
Pomurska;50-54;2014M11;5790
Pomurska;50-54;2014M12;5663
Pomurska;50-54;2015M01;5541
Pomurska;50-54;2015M02;5573
Pomurska;50-54;2015M03;5629
Pomurska;50-54;2015M04;5614
Pomurska;50-54;2015M05;5639
Pomurska;50-54;2015M06;5680
Pomurska;50-54;2015M07;5678
Pomurska;50-54;2015M08;5699
Pomurska;50-54;2015M09;5728
Pomurska;50-54;2015M10;5685
Pomurska;50-54;2015M11;5699
Pomurska;50-54;2015M12;5657
Pomurska;50-54;2016M01;5527
Pomurska;50-54;2016M02;5559
Pomurska;50-54;2016M03;5649
Pomurska;50-54;2016M04;5706
Pomurska;50-54;2016M05;5760
Pomurska;50-54;2016M06;5770
Pomurska;50-54;2016M07;5749
Pomurska;50-54;2016M08;5775
Pomurska;50-54;2016M09;5805
Pomurska;50-54;2016M10;5822
Pomurska;50-54;2016M11;5803
Pomurska;50-54;2016M12;5732
Pomurska;50-54;2017M01;5688
Pomurska;50-54;2017M02;5715
Pomurska;50-54;2017M03;5811
Pomurska;50-54;2017M04;5927
Pomurska;50-54;2017M05;5966
Pomurska;50-54;2017M06;5986
Pomurska;50-54;2017M07;5944
Pomurska;50-54;2017M08;5956
Pomurska;50-54;2017M09;5962
Pomurska;50-54;2017M10;5957
Pomurska;50-54;2017M11;5992
Pomurska;50-54;2017M12;5932
Pomurska;50-54;2018M01;5945
Pomurska;50-54;2018M02;5979
Pomurska;50-54;2018M03;6053
Pomurska;50-54;2018M04;6137
Pomurska;50-54;2018M05;6174
Pomurska;50-54;2018M06;6202
Pomurska;50-54;2018M07;6125
Pomurska;50-54;2018M08;6126
Pomurska;50-54;2018M09;6160
Pomurska;50-54;2018M10;6237
Pomurska;50-54;2018M11;6251
Pomurska;50-54;2018M12;6192
Pomurska;50-54;2019M01;6076
Pomurska;50-54;2019M02;6088
Pomurska;50-54;2019M03;6177
Pomurska;50-54;2019M04;6208
Pomurska;50-54;2019M05;6222
Pomurska;50-54;2019M06;6206
Pomurska;50-54;2019M07;6115
Pomurska;50-54;2019M08;6112
Pomurska;50-54;2019M09;6139
Pomurska;50-54;2019M10;6140
Pomurska;50-54;2019M11;6128
Pomurska;50-54;2019M12;6094
Pomurska;50-54;2020M01;5966
Pomurska;50-54;2020M02;6041
Pomurska;50-54;2020M03;6059
Pomurska;50-54;2020M04;6051
Pomurska;50-54;2020M05;6056
Pomurska;50-54;2020M06;6092
Pomurska;50-54;2020M07;6093
Pomurska;50-54;2020M08;6081
Pomurska;50-54;2020M09;6060
Pomurska;50-54;2020M10;6071
Pomurska;50-54;2020M11;6046
Pomurska;50-54;2020M12;6003
Pomurska;50-54;2021M01;5952
Pomurska;50-54;2021M02;5980
Pomurska;50-54;2021M03;6044
Pomurska;50-54;2021M04;6053
Pomurska;50-54;2021M05;6047
Pomurska;50-54;2021M06;6068
Pomurska;50-54;2021M07;6023
Pomurska;50-54;2021M08;6061
Pomurska;50-54;2021M09;6085
Pomurska;50-54;2021M10;6105
Pomurska;50-54;2021M11;6116
Pomurska;50-54;2021M12;6087
Pomurska;50-54;2022M01;6054
Pomurska;50-54;2022M02;6059
Pomurska;50-54;2022M03;6094
Pomurska;50-54;2022M04;6122
Pomurska;50-54;2022M05;6139
Pomurska;50-54;2022M06;6156
Pomurska;50-54;2022M07;6163
Pomurska;50-54;2022M08;6192
Pomurska;50-54;2022M09;6225
Pomurska;50-54;2022M10;6214
Pomurska;50-54;2022M11;6165
Pomurska;50-54;2022M12;6138
Pomurska;50-54;2023M01;6103
Pomurska;50-54;2023M02;6131
Pomurska;50-54;2023M03;6167
Pomurska;50-54;2023M04;6166
Pomurska;50-54;2023M05;6186
Pomurska;50-54;2023M06;6192
Pomurska;50-54;2023M07;6186
Pomurska;50-54;2023M08;6227
Pomurska;50-54;2023M09;6245
Pomurska;50-54;2023M10;6249
Pomurska;50-54;2023M11;6244
Pomurska;50-54;2023M12;6227
Pomurska;50-54;2024M01;6197
Pomurska;50-54;2024M02;6227
Pomurska;50-54;2024M03;6250
Pomurska;50-54;2024M04;6269
Pomurska;50-54;2024M05;6303
Pomurska;50-54;2024M06;6318
Pomurska;50-54;2024M07;6311
Pomurska;50-54;2024M08;6351
Pomurska;50-54;2024M09;6371
Pomurska;50-54;2024M10;6402
Pomurska;50-54;2024M11;6395
Pomurska;50-54;2024M12;6368
Pomurska;50-54;2025M01;6370
Pomurska;55-59;2010M01;3251
Pomurska;55-59;2010M02;3275
Pomurska;55-59;2010M03;3307
Pomurska;55-59;2010M04;3423
Pomurska;55-59;2010M05;3481
Pomurska;55-59;2010M06;3512
Pomurska;55-59;2010M07;3495
Pomurska;55-59;2010M08;3534
Pomurska;55-59;2010M09;3512
Pomurska;55-59;2010M10;3483
Pomurska;55-59;2010M11;3478
Pomurska;55-59;2010M12;3184
Pomurska;55-59;2011M01;3280
Pomurska;55-59;2011M02;3342
Pomurska;55-59;2011M03;3385
Pomurska;55-59;2011M04;3517
Pomurska;55-59;2011M05;3562
Pomurska;55-59;2011M06;3613
Pomurska;55-59;2011M07;3612
Pomurska;55-59;2011M08;3643
Pomurska;55-59;2011M09;3671
Pomurska;55-59;2011M10;3695
Pomurska;55-59;2011M11;3710
Pomurska;55-59;2011M12;3672
Pomurska;55-59;2012M01;3257
Pomurska;55-59;2012M02;3326
Pomurska;55-59;2012M03;3364
Pomurska;55-59;2012M04;3489
Pomurska;55-59;2012M05;3523
Pomurska;55-59;2012M06;3556
Pomurska;55-59;2012M07;3543
Pomurska;55-59;2012M08;3572
Pomurska;55-59;2012M09;3556
Pomurska;55-59;2012M10;3564
Pomurska;55-59;2012M11;3554
Pomurska;55-59;2012M12;3398
Pomurska;55-59;2013M01;3407
Pomurska;55-59;2013M02;3441
Pomurska;55-59;2013M03;3501
Pomurska;55-59;2013M04;3557
Pomurska;55-59;2013M05;3631
Pomurska;55-59;2013M06;3675
Pomurska;55-59;2013M07;3703
Pomurska;55-59;2013M08;3724
Pomurska;55-59;2013M09;3763
Pomurska;55-59;2013M10;3791
Pomurska;55-59;2013M11;3800
Pomurska;55-59;2013M12;3736
Pomurska;55-59;2014M01;3667
Pomurska;55-59;2014M02;3706
Pomurska;55-59;2014M03;3784
Pomurska;55-59;2014M04;3942
Pomurska;55-59;2014M05;3990
Pomurska;55-59;2014M06;3963
Pomurska;55-59;2014M07;4026
Pomurska;55-59;2014M08;4053
Pomurska;55-59;2014M09;4084
Pomurska;55-59;2014M10;4003
Pomurska;55-59;2014M11;4031
Pomurska;55-59;2014M12;3984
Pomurska;55-59;2015M01;3895
Pomurska;55-59;2015M02;3959
Pomurska;55-59;2015M03;4040
Pomurska;55-59;2015M04;4045
Pomurska;55-59;2015M05;4060
Pomurska;55-59;2015M06;4073
Pomurska;55-59;2015M07;4064
Pomurska;55-59;2015M08;4072
Pomurska;55-59;2015M09;4105
Pomurska;55-59;2015M10;4070
Pomurska;55-59;2015M11;4076
Pomurska;55-59;2015M12;3954
Pomurska;55-59;2016M01;3837
Pomurska;55-59;2016M02;3894
Pomurska;55-59;2016M03;3995
Pomurska;55-59;2016M04;4054
Pomurska;55-59;2016M05;4114
Pomurska;55-59;2016M06;4154
Pomurska;55-59;2016M07;4132
Pomurska;55-59;2016M08;4169
Pomurska;55-59;2016M09;4215
Pomurska;55-59;2016M10;4263
Pomurska;55-59;2016M11;4237
Pomurska;55-59;2016M12;4164
Pomurska;55-59;2017M01;4142
Pomurska;55-59;2017M02;4194
Pomurska;55-59;2017M03;4297
Pomurska;55-59;2017M04;4474
Pomurska;55-59;2017M05;4488
Pomurska;55-59;2017M06;4526
Pomurska;55-59;2017M07;4519
Pomurska;55-59;2017M08;4530
Pomurska;55-59;2017M09;4573
Pomurska;55-59;2017M10;4613
Pomurska;55-59;2017M11;4591
Pomurska;55-59;2017M12;4530
Pomurska;55-59;2018M01;4477
Pomurska;55-59;2018M02;4520
Pomurska;55-59;2018M03;4641
Pomurska;55-59;2018M04;4729
Pomurska;55-59;2018M05;4788
Pomurska;55-59;2018M06;4842
Pomurska;55-59;2018M07;4856
Pomurska;55-59;2018M08;4869
Pomurska;55-59;2018M09;4888
Pomurska;55-59;2018M10;4945
Pomurska;55-59;2018M11;4941
Pomurska;55-59;2018M12;4868
Pomurska;55-59;2019M01;4771
Pomurska;55-59;2019M02;4829
Pomurska;55-59;2019M03;4954
Pomurska;55-59;2019M04;4993
Pomurska;55-59;2019M05;5035
Pomurska;55-59;2019M06;5090
Pomurska;55-59;2019M07;5052
Pomurska;55-59;2019M08;5059
Pomurska;55-59;2019M09;5062
Pomurska;55-59;2019M10;5089
Pomurska;55-59;2019M11;5066
Pomurska;55-59;2019M12;4937
Pomurska;55-59;2020M01;4840
Pomurska;55-59;2020M02;4878
Pomurska;55-59;2020M03;4933
Pomurska;55-59;2020M04;4949
Pomurska;55-59;2020M05;4984
Pomurska;55-59;2020M06;5040
Pomurska;55-59;2020M07;5043
Pomurska;55-59;2020M08;5070
Pomurska;55-59;2020M09;5099
Pomurska;55-59;2020M10;5111
Pomurska;55-59;2020M11;5132
Pomurska;55-59;2020M12;5126
Pomurska;55-59;2021M01;5066
Pomurska;55-59;2021M02;5120
Pomurska;55-59;2021M03;5187
Pomurska;55-59;2021M04;5218
Pomurska;55-59;2021M05;5260
Pomurska;55-59;2021M06;5290
Pomurska;55-59;2021M07;5283
Pomurska;55-59;2021M08;5295
Pomurska;55-59;2021M09;5320
Pomurska;55-59;2021M10;5317
Pomurska;55-59;2021M11;5330
Pomurska;55-59;2021M12;5324
Pomurska;55-59;2022M01;5270
Pomurska;55-59;2022M02;5325
Pomurska;55-59;2022M03;5349
Pomurska;55-59;2022M04;5373
Pomurska;55-59;2022M05;5418
Pomurska;55-59;2022M06;5462
Pomurska;55-59;2022M07;5473
Pomurska;55-59;2022M08;5471
Pomurska;55-59;2022M09;5484
Pomurska;55-59;2022M10;5493
Pomurska;55-59;2022M11;5526
Pomurska;55-59;2022M12;5539
Pomurska;55-59;2023M01;5477
Pomurska;55-59;2023M02;5531
Pomurska;55-59;2023M03;5574
Pomurska;55-59;2023M04;5593
Pomurska;55-59;2023M05;5613
Pomurska;55-59;2023M06;5627
Pomurska;55-59;2023M07;5604
Pomurska;55-59;2023M08;5607
Pomurska;55-59;2023M09;5637
Pomurska;55-59;2023M10;5656
Pomurska;55-59;2023M11;5683
Pomurska;55-59;2023M12;5661
Pomurska;55-59;2024M01;5601
Pomurska;55-59;2024M02;5578
Pomurska;55-59;2024M03;5614
Pomurska;55-59;2024M04;5632
Pomurska;55-59;2024M05;5642
Pomurska;55-59;2024M06;5655
Pomurska;55-59;2024M07;5665
Pomurska;55-59;2024M08;5636
Pomurska;55-59;2024M09;5647
Pomurska;55-59;2024M10;5646
Pomurska;55-59;2024M11;5641
Pomurska;55-59;2024M12;5561
Pomurska;55-59;2025M01;5531
Pomurska;60+;2010M01;728
Pomurska;60+;2010M02;725
Pomurska;60+;2010M03;747
Pomurska;60+;2010M04;760
Pomurska;60+;2010M05;761
Pomurska;60+;2010M06;772
Pomurska;60+;2010M07;784
Pomurska;60+;2010M08;782
Pomurska;60+;2010M09;755
Pomurska;60+;2010M10;759
Pomurska;60+;2010M11;746
Pomurska;60+;2010M12;664
Pomurska;60+;2011M01;696
Pomurska;60+;2011M02;694
Pomurska;60+;2011M03;708
Pomurska;60+;2011M04;737
Pomurska;60+;2011M05;740
Pomurska;60+;2011M06;746
Pomurska;60+;2011M07;748
Pomurska;60+;2011M08;747
Pomurska;60+;2011M09;748
Pomurska;60+;2011M10;747
Pomurska;60+;2011M11;767
Pomurska;60+;2011M12;765
Pomurska;60+;2012M01;604
Pomurska;60+;2012M02;620
Pomurska;60+;2012M03;650
Pomurska;60+;2012M04;697
Pomurska;60+;2012M05;706
Pomurska;60+;2012M06;704
Pomurska;60+;2012M07;713
Pomurska;60+;2012M08;717
Pomurska;60+;2012M09;717
Pomurska;60+;2012M10;721
Pomurska;60+;2012M11;710
Pomurska;60+;2012M12;657
Pomurska;60+;2013M01;643
Pomurska;60+;2013M02;662
Pomurska;60+;2013M03;704
Pomurska;60+;2013M04;732
Pomurska;60+;2013M05;749
Pomurska;60+;2013M06;769
Pomurska;60+;2013M07;768
Pomurska;60+;2013M08;764
Pomurska;60+;2013M09;776
Pomurska;60+;2013M10;788
Pomurska;60+;2013M11;808
Pomurska;60+;2013M12;794
Pomurska;60+;2014M01;749
Pomurska;60+;2014M02;776
Pomurska;60+;2014M03;794
Pomurska;60+;2014M04;831
Pomurska;60+;2014M05;845
Pomurska;60+;2014M06;871
Pomurska;60+;2014M07;897
Pomurska;60+;2014M08;913
Pomurska;60+;2014M09;932
Pomurska;60+;2014M10;929
Pomurska;60+;2014M11;931
Pomurska;60+;2014M12;911
Pomurska;60+;2015M01;889
Pomurska;60+;2015M02;915
Pomurska;60+;2015M03;943
Pomurska;60+;2015M04;906
Pomurska;60+;2015M05;928
Pomurska;60+;2015M06;948
Pomurska;60+;2015M07;946
Pomurska;60+;2015M08;960
Pomurska;60+;2015M09;974
Pomurska;60+;2015M10;956
Pomurska;60+;2015M11;969
Pomurska;60+;2015M12;965
Pomurska;60+;2016M01;923
Pomurska;60+;2016M02;948
Pomurska;60+;2016M03;978
Pomurska;60+;2016M04;1007
Pomurska;60+;2016M05;1039
Pomurska;60+;2016M06;1073
Pomurska;60+;2016M07;1091
Pomurska;60+;2016M08;1116
Pomurska;60+;2016M09;1133
Pomurska;60+;2016M10;1168
Pomurska;60+;2016M11;1183
Pomurska;60+;2016M12;1168
Pomurska;60+;2017M01;1152
Pomurska;60+;2017M02;1190
Pomurska;60+;2017M03;1216
Pomurska;60+;2017M04;1304
Pomurska;60+;2017M05;1340
Pomurska;60+;2017M06;1372
Pomurska;60+;2017M07;1368
Pomurska;60+;2017M08;1390
Pomurska;60+;2017M09;1408
Pomurska;60+;2017M10;1424
Pomurska;60+;2017M11;1427
Pomurska;60+;2017M12;1397
Pomurska;60+;2018M01;1406
Pomurska;60+;2018M02;1403
Pomurska;60+;2018M03;1432
Pomurska;60+;2018M04;1503
Pomurska;60+;2018M05;1544
Pomurska;60+;2018M06;1551
Pomurska;60+;2018M07;1538
Pomurska;60+;2018M08;1554
Pomurska;60+;2018M09;1546
Pomurska;60+;2018M10;1602
Pomurska;60+;2018M11;1617
Pomurska;60+;2018M12;1626
Pomurska;60+;2019M01;1554
Pomurska;60+;2019M02;1576
Pomurska;60+;2019M03;1621
Pomurska;60+;2019M04;1667
Pomurska;60+;2019M05;1691
Pomurska;60+;2019M06;1708
Pomurska;60+;2019M07;1726
Pomurska;60+;2019M08;1764
Pomurska;60+;2019M09;1762
Pomurska;60+;2019M10;1796
Pomurska;60+;2019M11;1812
Pomurska;60+;2019M12;1809
Pomurska;60+;2020M01;2301
Pomurska;60+;2020M02;2335
Pomurska;60+;2020M03;2408
Pomurska;60+;2020M04;2473
Pomurska;60+;2020M05;2529
Pomurska;60+;2020M06;2561
Pomurska;60+;2020M07;2569
Pomurska;60+;2020M08;2607
Pomurska;60+;2020M09;2625
Pomurska;60+;2020M10;2642
Pomurska;60+;2020M11;2658
Pomurska;60+;2020M12;2673
Pomurska;60+;2021M01;2565
Pomurska;60+;2021M02;2588
Pomurska;60+;2021M03;2636
Pomurska;60+;2021M04;2680
Pomurska;60+;2021M05;2740
Pomurska;60+;2021M06;2795
Pomurska;60+;2021M07;2818
Pomurska;60+;2021M08;2849
Pomurska;60+;2021M09;2858
Pomurska;60+;2021M10;2890
Pomurska;60+;2021M11;2918
Pomurska;60+;2021M12;2946
Pomurska;60+;2022M01;2820
Pomurska;60+;2022M02;2842
Pomurska;60+;2022M03;2899
Pomurska;60+;2022M04;2930
Pomurska;60+;2022M05;2970
Pomurska;60+;2022M06;3010
